18,R,AAV,,,,,,REGULER,REGULER,REGULER,REGULER,-,,0,14,25,36,29,21,125,,0,14,25,36,29,21,125,2,TIDAK,TIDAK,125,,#REF!,,0,Y,,,,,125
19,S,AAV,,,,,,REGULER,REGULER,REGULER,REGULER,-,,0,9,15,33,26,11,94,,0,9,15,33,26,11,94,2,TIDAK,TIDAK,94,,#REF!,,0,Y,,,,,94
20,T,AAV,,,,,,,REGULER,-,-,-,,0,,12,0,0,0,12,,0,,12,0,0,0,12,6,DOWNGRADE,RESET,0,,#REF!,,0,FALSE,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
